"";"municipality";"municipality_id";"state";"population";"account_type";"account";"amount";"i.municipality";"i.municipality_id";"i.state";"i.population";"i.account_type"
"112";"Prefeitura Municipal de São João do Polêsine - RS";4318432;"RS";2649;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";196680;"Prefeitura Municipal de Coronel Pilar - RS";4305934;"RS";1734;"31/12/2018"
"113";"Prefeitura Municipal de Sertão Santana - RS";4320552;"RS";6282;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";176125,24;"Prefeitura Municipal de Mariano Moro - RS";4312005;"RS";2200;"31/12/2018"
"114";"Prefeitura Municipal de Presidente Lucena - RS";4315149;"RS";2729;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";122925;"Prefeitura Municipal de Minas do Leão - RS";4312252;"RS";8059;"31/12/2018"
"115";"Prefeitura Municipal de Minas do Leão - RS";4312252;"RS";8059;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";122925;"Prefeitura Municipal de Presidente Lucena - RS";4315149;"RS";2729;"31/12/2018"
"116";"Prefeitura Municipal de Ronda Alta - RS";4316105;"RS";10675;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";121875;"Prefeitura Municipal de Restinga Sêca - RS";4315503;"RS";16324;"31/12/2018"
"117";"Prefeitura Municipal de São Jorge - RS";4318440;"RS";2844;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";121875;"Prefeitura Municipal de Restinga Sêca - RS";4315503;"RS";16324;"31/12/2018"
"118";"Prefeitura Municipal de Restinga Sêca - RS";4315503;"RS";16324;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";121875;"Prefeitura Municipal de Ronda Alta - RS";4316105;"RS";10675;"31/12/2018"
"119";"Prefeitura Municipal de São Jorge - RS";4318440;"RS";2844;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";121875;"Prefeitura Municipal de Ronda Alta - RS";4316105;"RS";10675;"31/12/2018"
"120";"Prefeitura Municipal de Coronel Pilar - RS";4305934;"RS";1734;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";196680;"Prefeitura Municipal de São João do Polêsine - RS";4318432;"RS";2649;"31/12/2018"
"121";"Prefeitura Municipal de Restinga Sêca - RS";4315503;"RS";16324;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";121875;"Prefeitura Municipal de São Jorge - RS";4318440;"RS";2844;"31/12/2018"
"122";"Prefeitura Municipal de Ronda Alta - RS";4316105;"RS";10675;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";121875;"Prefeitura Municipal de São Jorge - RS";4318440;"RS";2844;"31/12/2018"
"123";"Prefeitura Municipal de Mariano Moro - RS";4312005;"RS";2200;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";176125,24;"Prefeitura Municipal de Sertão Santana - RS";4320552;"RS";6282;"31/12/2018"
"124";"Prefeitura Municipal de Coronel Barros - RS";4305871;"RS";2556;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";250000;"Prefeitura Municipal de União da Serra - RS";4322350;"RS";1374;"31/12/2018"
"125";"Prefeitura Municipal de Jussiape - BA";2918605;"BA";7239;"31/12/2018";"1.1.2.3.4.00.00 - Créditos de Transferências a Receber - Inter OFSS - Estado";22686,46;"Prefeitura Municipal de Belo Campo - BA";2903508;"BA";18312;"31/12/2018"
"126";"Prefeitura Municipal de Nova Soure - BA";2922904;"BA";25931;"31/12/2018";"1.1.2.3.4.00.00 - Créditos de Transferências a Receber - Inter OFSS - Estado";15000;"Prefeitura Municipal de Cairu - BA";2905404;"BA";17985;"31/12/2018"
"127";"Prefeitura Municipal de Belo Campo - BA";2903508;"BA";18312;"31/12/2018";"1.1.2.3.4.00.00 - Créditos de Transferências a Receber - Inter OFSS - Estado";22686,46;"Prefeitura Municipal de Jussiape - BA";2918605;"BA";7239;"31/12/2018"
"128";"Prefeitura Municipal de Cairu - BA";2905404;"BA";17985;"31/12/2018";"1.1.2.3.4.00.00 - Créditos de Transferências a Receber - Inter OFSS - Estado";15000;"Prefeitura Municipal de Nova Soure - BA";2922904;"BA";25931;"31/12/2018"
"129";"Prefeitura Municipal de Verdelândia - MG";3171030;"MG";9140;"31/12/2018";"1.1.2.3.4.00.00 - Créditos de Transferências a Receber - Inter OFSS - Estado";3519715,33;"Prefeitura Municipal de Claro dos Poções - MG";3116506;"MG";7819;"31/12/2018"
"130";"Prefeitura Municipal de Claro dos Poções - MG";3116506;"MG";7819;"31/12/2018";"1.1.2.3.4.00.00 - Créditos de Transferências a Receber - Inter OFSS - Estado";3519715,33;"Prefeitura Municipal de Verdelândia - MG";3171030;"MG";9140;"31/12/2018"
"131";"Prefeitura Municipal de Cícero Dantas - BA";2907806;"BA";34581;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018"
"132";"Prefeitura Municipal de Crisópolis - BA";2909604;"BA";21700;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018"
"133";"Prefeitura Municipal de Pindobaçu - BA";2924603;"BA";21191;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018"
"134";"Prefeitura Municipal de Una - BA";2932507;"BA";21331;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018"
"135";"Prefeitura Municipal de Piranga - MG";3150802;"MG";17892;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";129000;"Prefeitura Municipal de Acajutiba - BA";2900306;"BA";15764;"31/12/2018"
"136";"Prefeitura Municipal de Rincão - SP";3543709;"SP";10809;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";4e+05;"Prefeitura Municipal de Andaraí - BA";2901304;"BA";13732;"31/12/2018"
"137";"Prefeitura Municipal de Conceição do Almeida - BA";2908309;"BA";18278;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";50000;"Prefeitura Municipal de Caatiba - BA";2904803;"BA";10044;"31/12/2018"
"138";"Prefeitura Municipal de Lajedão - BA";2918902;"BA";4046;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";50000;"Prefeitura Municipal de Caatiba - BA";2904803;"BA";10044;"31/12/2018"
"139";"Prefeitura Municipal de Porto Esperidião - MT";5106828;"MT";11603;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";290000;"Prefeitura Municipal de Camacan - BA";2905602;"BA";33257;"31/12/2018"
"140";"Prefeitura Municipal de Itanhém - BA";2916005;"BA";20554;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";150000;"Prefeitura Municipal de Canarana - BA";2906204;"BA";26702;"31/12/2018"
"141";"Prefeitura Municipal de São Félix - BA";2929008;"BA";15272;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";150000;"Prefeitura Municipal de Canarana - BA";2906204;"BA";26702;"31/12/2018"
"142";"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Cícero Dantas - BA";2907806;"BA";34581;"31/12/2018"
"143";"Prefeitura Municipal de Crisópolis - BA";2909604;"BA";21700;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Cícero Dantas - BA";2907806;"BA";34581;"31/12/2018"
"144";"Prefeitura Municipal de Pindobaçu - BA";2924603;"BA";21191;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Cícero Dantas - BA";2907806;"BA";34581;"31/12/2018"
"145";"Prefeitura Municipal de Una - BA";2932507;"BA";21331;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Cícero Dantas - BA";2907806;"BA";34581;"31/12/2018"
"146";"Prefeitura Municipal de Caatiba - BA";2904803;"BA";10044;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";50000;"Prefeitura Municipal de Conceição do Almeida - BA";2908309;"BA";18278;"31/12/2018"
"147";"Prefeitura Municipal de Lajedão - BA";2918902;"BA";4046;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";50000;"Prefeitura Municipal de Conceição do Almeida - BA";2908309;"BA";18278;"31/12/2018"
"148";"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Crisópolis - BA";2909604;"BA";21700;"31/12/2018"
"149";"Prefeitura Municipal de Cícero Dantas - BA";2907806;"BA";34581;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Crisópolis - BA";2909604;"BA";21700;"31/12/2018"
"150";"Prefeitura Municipal de Pindobaçu - BA";2924603;"BA";21191;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Crisópolis - BA";2909604;"BA";21700;"31/12/2018"
"151";"Prefeitura Municipal de Una - BA";2932507;"BA";21331;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Crisópolis - BA";2909604;"BA";21700;"31/12/2018"
"152";"Prefeitura Municipal de Itirapuã - SP";3523701;"SP";6363;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";350000;"Prefeitura Municipal de Cruz das Almas - BA";2909802;"BA";64552;"31/12/2018"
"153";"Prefeitura Municipal de Pau Brasil - BA";2923902;"BA";10673;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";20000;"Prefeitura Municipal de Ichu - BA";2913309;"BA";6418;"31/12/2018"
"154";"Prefeitura Municipal de Riachão das Neves - BA";2926202;"BA";23290;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";20000;"Prefeitura Municipal de Ichu - BA";2913309;"BA";6418;"31/12/2018"
"155";"Prefeitura Municipal de Canarana - BA";2906204;"BA";26702;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";150000;"Prefeitura Municipal de Itanhém - BA";2916005;"BA";20554;"31/12/2018"
"156";"Prefeitura Municipal de São Félix - BA";2929008;"BA";15272;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";150000;"Prefeitura Municipal de Itanhém - BA";2916005;"BA";20554;"31/12/2018"
"157";"Prefeitura Municipal de Caatiba - BA";2904803;"BA";10044;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";50000;"Prefeitura Municipal de Lajedão - BA";2918902;"BA";4046;"31/12/2018"
"158";"Prefeitura Municipal de Conceição do Almeida - BA";2908309;"BA";18278;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";50000;"Prefeitura Municipal de Lajedão - BA";2918902;"BA";4046;"31/12/2018"
"159";"Prefeitura Municipal de Ichu - BA";2913309;"BA";6418;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";20000;"Prefeitura Municipal de Pau Brasil - BA";2923902;"BA";10673;"31/12/2018"
"160";"Prefeitura Municipal de Riachão das Neves - BA";2926202;"BA";23290;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";20000;"Prefeitura Municipal de Pau Brasil - BA";2923902;"BA";10673;"31/12/2018"
"161";"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Pindobaçu - BA";2924603;"BA";21191;"31/12/2018"
"162";"Prefeitura Municipal de Cícero Dantas - BA";2907806;"BA";34581;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Pindobaçu - BA";2924603;"BA";21191;"31/12/2018"
"163";"Prefeitura Municipal de Crisópolis - BA";2909604;"BA";21700;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Pindobaçu - BA";2924603;"BA";21191;"31/12/2018"
"164";"Prefeitura Municipal de Una - BA";2932507;"BA";21331;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Pindobaçu - BA";2924603;"BA";21191;"31/12/2018"
"165";"Prefeitura Municipal de Ichu - BA";2913309;"BA";6418;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";20000;"Prefeitura Municipal de Riachão das Neves - BA";2926202;"BA";23290;"31/12/2018"
"166";"Prefeitura Municipal de Pau Brasil - BA";2923902;"BA";10673;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";20000;"Prefeitura Municipal de Riachão das Neves - BA";2926202;"BA";23290;"31/12/2018"
"167";"Prefeitura Municipal de Canarana - BA";2906204;"BA";26702;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";150000;"Prefeitura Municipal de São Félix - BA";2929008;"BA";15272;"31/12/2018"
"168";"Prefeitura Municipal de Itanhém - BA";2916005;"BA";20554;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";150000;"Prefeitura Municipal de São Félix - BA";2929008;"BA";15272;"31/12/2018"
"169";"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Una - BA";2932507;"BA";21331;"31/12/2018"
"170";"Prefeitura Municipal de Cícero Dantas - BA";2907806;"BA";34581;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Una - BA";2932507;"BA";21331;"31/12/2018"
"171";"Prefeitura Municipal de Crisópolis - BA";2909604;"BA";21700;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Una - BA";2932507;"BA";21331;"31/12/2018"
"172";"Prefeitura Municipal de Pindobaçu - BA";2924603;"BA";21191;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";1e+05;"Prefeitura Municipal de Una - BA";2932507;"BA";21331;"31/12/2018"
"173";"Prefeitura Municipal de Goianá - MG";3127388;"MG";3928;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";34500;"Prefeitura Municipal de Carvalhos - MG";3114808;"MG";4625;"31/12/2018"
"174";"Prefeitura Municipal de Carvalhos - MG";3114808;"MG";4625;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";34500;"Prefeitura Municipal de Goianá - MG";3127388;"MG";3928;"31/12/2018"
"175";"Prefeitura Municipal de Acajutiba - BA";2900306;"BA";15764;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";129000;"Prefeitura Municipal de Piranga - MG";3150802;"MG";17892;"31/12/2018"
"176";"Prefeitura Municipal de Caarapó - MS";5002407;"MS";28867;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";8e+05;"Prefeitura Municipal de Caconde - SP";3508702;"SP";19001;"31/12/2018"
"177";"Prefeitura Municipal de Cruz das Almas - BA";2909802;"BA";64552;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";350000;"Prefeitura Municipal de Itirapuã - SP";3523701;"SP";6363;"31/12/2018"
"178";"Prefeitura Municipal de Andaraí - BA";2901304;"BA";13732;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";4e+05;"Prefeitura Municipal de Rincão - SP";3543709;"SP";10809;"31/12/2018"
"179";"Prefeitura Municipal de Caconde - SP";3508702;"SP";19001;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";8e+05;"Prefeitura Municipal de Caarapó - MS";5002407;"MS";28867;"31/12/2018"
"180";"Prefeitura Municipal de Camacan - BA";2905602;"BA";33257;"31/12/2018";"1.1.2.5.0.00.00 - Dívida Ativa Tributaria";290000;"Prefeitura Municipal de Porto Esperidião - MT";5106828;"MT";11603;"31/12/2018"
"181";"Prefeitura Municipal de Cícero Dantas - BA";2907806;"BA";34581;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";1e+05;"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018"
"182";"Prefeitura Municipal de Crisópolis - BA";2909604;"BA";21700;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";1e+05;"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018"
"183";"Prefeitura Municipal de Pindobaçu - BA";2924603;"BA";21191;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";1e+05;"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018"
"184";"Prefeitura Municipal de Una - BA";2932507;"BA";21331;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";1e+05;"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018"
"185";"Prefeitura Municipal de Rincão - SP";3543709;"SP";10809;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";4e+05;"Prefeitura Municipal de Andaraí - BA";2901304;"BA";13732;"31/12/2018"
"186";"Prefeitura Municipal de Conceição do Almeida - BA";2908309;"BA";18278;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";50000;"Prefeitura Municipal de Caatiba - BA";2904803;"BA";10044;"31/12/2018"
"187";"Prefeitura Municipal de Lajedão - BA";2918902;"BA";4046;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";50000;"Prefeitura Municipal de Caatiba - BA";2904803;"BA";10044;"31/12/2018"
"188";"Prefeitura Municipal de Porto Esperidião - MT";5106828;"MT";11603;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";290000;"Prefeitura Municipal de Camacan - BA";2905602;"BA";33257;"31/12/2018"
"189";"Prefeitura Municipal de Itanhém - BA";2916005;"BA";20554;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";150000;"Prefeitura Municipal de Canarana - BA";2906204;"BA";26702;"31/12/2018"
"190";"Prefeitura Municipal de São Félix - BA";2929008;"BA";15272;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";150000;"Prefeitura Municipal de Canarana - BA";2906204;"BA";26702;"31/12/2018"
"191";"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";1e+05;"Prefeitura Municipal de Cícero Dantas - BA";2907806;"BA";34581;"31/12/2018"
"192";"Prefeitura Municipal de Crisópolis - BA";2909604;"BA";21700;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";1e+05;"Prefeitura Municipal de Cícero Dantas - BA";2907806;"BA";34581;"31/12/2018"
"193";"Prefeitura Municipal de Pindobaçu - BA";2924603;"BA";21191;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";1e+05;"Prefeitura Municipal de Cícero Dantas - BA";2907806;"BA";34581;"31/12/2018"
"194";"Prefeitura Municipal de Una - BA";2932507;"BA";21331;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";1e+05;"Prefeitura Municipal de Cícero Dantas - BA";2907806;"BA";34581;"31/12/2018"
"195";"Prefeitura Municipal de Caatiba - BA";2904803;"BA";10044;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";50000;"Prefeitura Municipal de Conceição do Almeida - BA";2908309;"BA";18278;"31/12/2018"
"196";"Prefeitura Municipal de Lajedão - BA";2918902;"BA";4046;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";50000;"Prefeitura Municipal de Conceição do Almeida - BA";2908309;"BA";18278;"31/12/2018"
"197";"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";1e+05;"Prefeitura Municipal de Crisópolis - BA";2909604;"BA";21700;"31/12/2018"
"198";"Prefeitura Municipal de Cícero Dantas - BA";2907806;"BA";34581;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";1e+05;"Prefeitura Municipal de Crisópolis - BA";2909604;"BA";21700;"31/12/2018"
"199";"Prefeitura Municipal de Pindobaçu - BA";2924603;"BA";21191;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";1e+05;"Prefeitura Municipal de Crisópolis - BA";2909604;"BA";21700;"31/12/2018"
"200";"Prefeitura Municipal de Una - BA";2932507;"BA";21331;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";1e+05;"Prefeitura Municipal de Crisópolis - BA";2909604;"BA";21700;"31/12/2018"
"201";"Prefeitura Municipal de Itirapuã - SP";3523701;"SP";6363;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";350000;"Prefeitura Municipal de Cruz das Almas - BA";2909802;"BA";64552;"31/12/2018"
"202";"Prefeitura Municipal de Pau Brasil - BA";2923902;"BA";10673;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";20000;"Prefeitura Municipal de Ichu - BA";2913309;"BA";6418;"31/12/2018"
"203";"Prefeitura Municipal de Riachão das Neves - BA";2926202;"BA";23290;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";20000;"Prefeitura Municipal de Ichu - BA";2913309;"BA";6418;"31/12/2018"
"204";"Prefeitura Municipal de Canarana - BA";2906204;"BA";26702;"31/12/2018";"1.1.2.5.1.00.00 - Dívida Ativa Tributaria - Consolidação";150000;"Prefeitura Municipal de Itanhém - BA";2916005;"BA";20554;"31/12/2018"
